Model,Accuracy,F1-Score,ROC-AUC,Training Time (s)
Random Forest (Tuned),0.9642,0.9641,0.9944,2135.0887
Random Forest,0.9641,0.964,0.9943,20.0139
Extra Trees (Tuned),0.9628,0.9627,0.994,2854.4734
Extra Trees,0.9623,0.9622,0.9937,13.5433
SVM,0.9538,0.9537,0.9891,842.3743
Decision Tree,0.9462,0.9462,0.9458,1.2279
Gradient Boosting,0.9454,0.9453,0.9886,33.3738
K-Nearest Neighbors,0.9222,0.9218,0.9651,0.05
AdaBoost,0.9095,0.9093,0.9712,6.3514
Logistic Regression,0.8775,0.8773,0.9294,0.2406
LDA,0.8762,0.876,0.9274,0.3105
Gaussian Naive Bayes,0.863,0.8627,0.9209,0.0481
QDA,0.856,0.8556,0.9182,0.148
