,Satisfied,Neutral/Dissatisfied,Difference
Online boarding,4.027473625763465,2.656125273866744,1.3713483518967209
Inflight entertainment,3.964930594114381,2.894155811070161,1.0707747830442202
Seat comfort,3.966529705719045,3.0362947740280917,0.9302349316909533
On-board service,3.8573237090505277,3.019157934068174,0.8381657749823539
Leg room service,3.822143253747918,2.990811664600282,0.831331589147636
Cleanliness,3.744342032204331,2.936123235788651,0.8082187964156797
Inflight wifi service,3.1612881732370903,2.3996331459433753,0.761655027293715
Checkin service,3.6460410882842864,3.042952495796464,0.6030885924878224
Baggage handling,3.9663964464186563,3.375991440072012,0.5904050063466442
Inflight service,3.969461410327596,3.3888143480697703,0.5806470622578255
Food and drink,3.521310383120489,2.9580495592656124,0.5632608238548764
Ease of Online booking,3.0315824541921157,2.5468503201481005,0.48473213404401516
Gate location,2.97787895613548,2.9761205183511947,0.001758437784285416
Departure/Arrival time convenient,2.970305385896724,3.1291122471509367,-0.15880686125421262
